,pdu_power,pdu_energy,pdu_current,pdu_voltage,pdu_pf,time_stamp
0,123.42,368.6553672316385,0.55,224.4,0.94,2024-08-20 22:09:22.476
1,123.31,368.6553672316385,0.55,224.2,0.94,2024-08-20 22:09:23.476
2,123.31,370.75,0.55,224.2,0.94,2024-08-20 22:09:24.476
3,123.365,370.75,0.55,224.3,0.94,2024-08-20 22:09:25.476
4,127.851,379.9146067415731,0.57,224.3,0.94,2024-08-20 22:09:26.476
5,130.094,366.01702127659576,0.58,224.3,0.95,2024-08-20 22:09:27.476
6,130.094,366.01702127659576,0.58,224.3,0.95,2024-08-20 22:09:28.476
7,130.094,378.0835164835166,0.58,224.3,0.95,2024-08-20 22:09:29.476
8,129.92,378.0835164835166,0.58,224,0.95,2024-08-20 22:09:30.476
9,123.2,360.5082872928177,0.55,224,0.94,2024-08-20 22:09:31.476
10,129.978,373.9739130434783,0.58,224.1,0.95,2024-08-20 22:09:32.476
11,129.92,369.95268817204305,0.58,224,0.95,2024-08-20 22:09:33.476
12,136.64,376.9291666666667,0.61,224,0.95,2024-08-20 22:09:34.476
13,136.701,376.9291666666667,0.61,224.1,0.95,2024-08-20 22:09:35.476
14,136.701,399.8364640883978,0.61,224.1,0.95,2024-08-20 22:09:36.476
15,130.094,386.5797752808989,0.58,224.3,0.95,2024-08-20 22:09:37.476
16,130.094,382.2844444444445,0.58,224.3,0.95,2024-08-20 22:09:38.476
17,130.094,380.17237569060774,0.58,224.3,0.95,2024-08-20 22:09:39.476
18,130.094,380.17237569060774,0.58,224.3,0.95,2024-08-20 22:09:40.476
19,130.094,386.5797752808989,0.58,224.3,0.95,2024-08-20 22:09:41.476
20,130.152,386.5797752808989,0.58,224.4,0.94,2024-08-20 22:09:42.476
21,123.42,372.8685714285715,0.55,224.4,0.94,2024-08-20 22:09:43.476
22,123.365,370.75,0.55,224.3,0.94,2024-08-20 22:09:44.476
23,123.42,366.58426966292143,0.55,224.4,0.94,2024-08-20 22:09:45.476
24,123.42,368.6553672316385,0.55,224.4,0.94,2024-08-20 22:09:46.476
25,123.31,368.6553672316385,0.55,224.2,0.94,2024-08-20 22:09:47.476
26,127.794,377.7921787709497,0.57,224.2,0.93,2024-08-20 22:09:48.476
27,123.365,368.6553672316385,0.55,224.3,0.94,2024-08-20 22:09:49.476
28,123.255,370.75,0.55,224.1,0.94,2024-08-20 22:09:50.476
29,123.255,362.5111111111112,0.55,224.1,0.94,2024-08-20 22:09:51.476
30,123.255,362.5111111111112,0.55,224.1,0.94,2024-08-20 22:09:52.476
31,123.255,360.5082872928177,0.55,224.1,0.94,2024-08-20 22:09:53.476
32,123.31,368.6553672316385,0.55,224.2,0.94,2024-08-20 22:09:54.476
33,123.31,368.6553672316385,0.55,224.2,0.94,2024-08-20 22:09:55.476
34,123.31,362.5111111111112,0.55,224.2,0.95,2024-08-20 22:09:56.476
35,123.2,364.5363128491621,0.55,224,0.95,2024-08-20 22:09:57.476
36,123.2,350.8172043010753,0.55,224,0.95,2024-08-20 22:09:58.476
37,123.255,350.8172043010753,0.55,224.1,0.94,2024-08-20 22:09:59.476
38,127.737,359.7063829787234,0.57,224.1,0.94,2024-08-20 22:10:00.476
39,123.42,370.75,0.55,224.4,0.94,2024-08-20 22:10:01.476
40,123.365,370.75,0.55,224.3,0.94,2024-08-20 22:10:02.476
41,123.365,368.6553672316385,0.55,224.3,0.94,2024-08-20 22:10:03.476
42,123.255,368.6553672316385,0.55,224.1,0.94,2024-08-20 22:10:04.476
43,123.255,368.6553672316385,0.55,224.1,0.94,2024-08-20 22:10:05.476
44,143.488,406.04064171122997,0.64,224.2,0.95,2024-08-20 22:10:06.476
45,143.36,410.4302702702703,0.64,224,0.95,2024-08-20 22:10:07.476
46,143.36,412.66086956521747,0.64,224,0.95,2024-08-20 22:10:08.476
47,143.36,408.2236559139786,0.64,224,0.95,2024-08-20 22:10:09.476
48,129.92,378.0835164835166,0.58,224,0.94,2024-08-20 22:10:10.476
49,123.31,360.5082872928177,0.55,224.2,0.94,2024-08-20 22:10:11.476
50,123.255,360.5082872928177,0.55,224.1,0.94,2024-08-20 22:10:12.476
51,123.255,364.5363128491621,0.55,224.1,0.94,2024-08-20 22:10:13.476
52,123.31,368.6553672316385,0.55,224.2,0.94,2024-08-20 22:10:14.476
53,123.31,366.58426966292143,0.55,224.2,0.94,2024-08-20 22:10:15.476
54,123.42,366.58426966292143,0.55,224.4,0.94,2024-08-20 22:10:16.476
55,123.42,360.5082872928177,0.55,224.4,0.94,2024-08-20 22:10:17.476
56,127.851,373.61767955801105,0.57,224.3,0.94,2024-08-20 22:10:18.476
57,127.851,377.7921787709497,0.57,224.3,0.94,2024-08-20 22:10:19.476
58,127.851,382.06101694915253,0.57,224.3,0.94,2024-08-20 22:10:20.476
59,127.794,382.06101694915253,0.57,224.2,0.94,2024-08-20 22:10:21.476
60,127.794,382.06101694915253,0.57,224.2,0.94,2024-08-20 22:10:22.476
