query_name,query,description
Memory Usage Percentage,"100 - ((node_memory_MemAvailable_bytes{instance=$} * 100) / node_memory_MemTotal_bytes{instance=$})",memory used percentage
Memory Apps,"(node_memory_MemTotal_bytes{instance=$} - node_memory_MemFree_bytes{instance=$} - node_memory_Buffers_bytes{instance=$} - node_memory_Cached_bytes{instance=$} - node_memory_Slab_bytes{instance=$} - node_memory_PageTables_bytes{instance=$} - node_memory_SwapCached_bytes{instance=$})/(1024*1024)",used memory by applications
Memory Pagetables,"node_memory_PageTables_bytes{instance=$}/(1024*1024)",used memory for to map between virtual and physical memory address
Memory Slab,"node_memory_Slab_bytes{instance=$}/(1024*1024)",Memory used by the kernel to cache data structures for its own use (caches like inode or dentry etc)
Memory Cache,"node_memory_Cached_bytes{instance=$}/(1024*1024)",cache parked file data
Memory Buffer,"node_memory_Buffers_bytes{instance=$}/(1024*1024)",Block device(eg. Hard Disk) cache
Free Memory,"node_memory_MemFree_bytes{instance=$}/(1024*1024)",Free memory
Cpu Core Number,"count(count(node_cpu_seconds_total{instance=$})%20by%20(cpu))", number of cores of cpu
Cpu Mode System Load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22system%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Processes executing in kernel mode
Cpu Mode User Load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22user%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Processes executing in user mode e.g. applications
Cpu Mode SoftIRQ load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22softirq%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",processing software interrupts
Cpu Mode Idle,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22idle%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Time Spent while cpu is sitting idle
Cpu Busy(Used Percentage),"(sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode!=%22idle%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))) * 100",Cpu used percentage
Disk Space Used,"(node_filesystem_size_bytes{instance=$,device!~'rootfs'} - node_filesystem_avail_bytes{instance=$,device!~'rootfs'})/(1024*1024)", Used storage
Memory mapped,"node_memory_Mapped_bytes{instance=$}/(1024*1024)", Used memory in mapped pages file which has been mmapped
Memory Shmem,"node_memory_Shmem_bytes{instance=$}/(1024*1024)", Used Shared Memory(shared between several processes thus including RAM disks)
Network Transmitted lo,"irate(node_network_transmit_bytes_total{instance=$,device=%22lo%22}[#])*8/(1024*1024)", Transmitted data of network in megabytes
Guest Time spent to run virtual cpu on guest,"sum by(instance) (irate(node_cpu_guest_seconds_total{instance=$, mode=%22user%22}[1m#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[1m#])))", time spent running a virtual cpu for a guest operating system
