,pdu_power,pdu_energy,pdu_current,pdu_voltage,pdu_pf,time_stamp
0,135.16,352.129,0.62,218,0.91,2024-08-15 10:51:32.890
1,135.222,352.129,0.62,218.1,0.91,2024-08-15 10:51:33.890
2,135.222,363.019587628866,0.62,218.1,0.91,2024-08-15 10:51:34.890
3,135.16,366.8010416666667,0.62,218,0.91,2024-08-15 10:51:35.890
4,143.88,384.4584615384615,0.66,218,0.94,2024-08-15 10:51:36.890
5,139.648,378.6333333333334,0.64,218.2,0.99,2024-08-15 10:51:37.890
6,139.648,380.61570680628273,0.64,218.2,0.99,2024-08-15 10:51:38.890
7,135.346,370.66210526315797,0.62,218.3,0.95,2024-08-15 10:51:39.890
8,135.346,370.66210526315797,0.62,218.3,0.95,2024-08-15 10:51:40.890
9,135.346,361.1579487179487,0.62,218.3,0.95,2024-08-15 10:51:41.890
10,135.16,361.1579487179487,0.62,218,0.95,2024-08-15 10:51:42.890
11,128.62,350.8801047120418,0.59,218,0.95,2024-08-15 10:51:43.890
12,130.85999999999999,360.60317460317464,0.6,218.1,0.95,2024-08-15 10:51:44.890
13,130.74,360.60317460317464,0.6,217.9,0.95,2024-08-15 10:51:45.890
14,130.74,356.82722513089004,0.6,217.9,0.95,2024-08-15 10:51:46.890
15,130.92,356.82722513089004,0.6,218.2,0.95,2024-08-15 10:51:47.890
16,128.738,352.7268421052632,0.59,218.2,0.95,2024-08-15 10:51:48.890
17,126.38199999999999,352.31122994652407,0.58,217.9,0.94,2024-08-15 10:51:49.890
18,126.49799999999999,352.31122994652407,0.58,218.1,0.94,2024-08-15 10:51:50.890
19,126.49799999999999,352.31122994652407,0.58,218.1,0.94,2024-08-15 10:51:51.890
20,126.38199999999999,354.20537634408606,0.58,217.9,0.94,2024-08-15 10:51:52.890
21,126.38199999999999,350.4372340425532,0.58,217.9,0.94,2024-08-15 10:51:53.890
22,126.38199999999999,350.4372340425532,0.58,217.9,0.95,2024-08-15 10:51:54.890
23,128.561,354.5931216931217,0.59,217.9,0.95,2024-08-15 10:51:55.890
24,128.561,352.7268421052632,0.59,217.9,0.95,2024-08-15 10:51:56.890
25,128.62,354.5931216931217,0.59,218,0.95,2024-08-15 10:51:57.890
26,135.16,364.900518134715,0.62,218,0.95,2024-08-15 10:51:58.890
27,135.16,364.900518134715,0.62,218,0.95,2024-08-15 10:51:59.890
28,126.44,348.58306878306877,0.58,218,0.94,2024-08-15 10:52:00.890
29,126.55599999999998,344.93298429319367,0.58,218.2,0.94,2024-08-15 10:52:01.890
